香港频道,#genre#
鳳凰中文,http://liveali.ifeng.com/live/FHZW.m3u8
鳳凰中文,http://tv.iptvluotuo.top/tm2.php?id=PhoenixTVHD
鳳凰中文,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225948/1.m3u8
鳳凰中文,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226143/1.m3u8
鳳凰中文,p8p://0198.02686.cc:16871/5d1a69d80007b1db11be6ad9e2339543.ts
鳳凰資訊,http://liveali.ifeng.com/live/FHZX.m3u8
鳳凰資訊,http://tv.iptvluotuo.top/tm2.php?id=PhoenixinfoTVHD
鳳凰資訊,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8
鳳凰資訊,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226142/1.m3u8
鳳凰資訊,http://117.169.120.138:8080/live/fhzixun/.m3u8
鳳凰資訊,p8p://0198.02686.cc:16871/5d1a69d90003dbfb11be6dc698fb9973.ts
鳳凰香港,http://tv.iptvluotuo.top/tm2.php?id=PhoenixHKHD
鳳凰香港,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226120/1.m3u8
鳳凰香港,p8p://0198.02686.cc:16871/5d1a69d6000505cd11be625a06b24e50.ts
鳳凰香港,http://qlive.fengshows.cn/live720p/PHK.flv?txSecret=daefe6664bbeadcfb4ee2338a48d041c&txTime=16f1ea41738
鳳凰电影,https://116.77.72.195/streams/d/fhdy/playlist.m3u8
有线新聞,https://livesec.mudu.tv/watch/yp7jwb.m3u8?auth_key=1580902801-980795-0-4f34639a76b24a3e96704c3e2a2b849a
有线新聞,https://livesec.mudu.tv/watch/yp7jwb.m3u8?auth_key=1580902471-842561-0-e2c67c08bc4049349668658cb671e0ce
有线新聞,https://livesec.mudu.tv/watch/yp7jwb.m3u8?auth_key=1580903609-540468-0-1f2d19e1d8273091cf01f86c18528910
有线新聞,http://107.148.215.110:888/v/tvb.php
有线新聞,https://livesec.mudu.tv/watch/yp7jwb.m3u8?auth_key=1580903758-410372-0-b5640ae1ca3efefaac27b611b4930dbf
有綫新聞,http://testalicdn2.cdn.utvhk.com/live/4cc64fb362004798b222978935590b2c/1980ba5c365e4f049f99aced1277303c-2.m3u8
有綫新聞,p2p://3114910866:9906/5cb05bfa0004baf417a82ed0351d3696.ts
有綫新聞,https://ottproxy2.mott.tv/livehls/MOB-SCC/02.m3u8
有綫新聞,p2p://185.169.196.146:9906/5cb05bfa0004baf417a82ed0351d3696.ts
有綫新聞,p2p://198.255.74.57:10196/5e29dcbc000ec5ffa7ba48c4ba18c467.ts
有綫新聞,p2p://lino.homeunix.com:6007/5a3251a3000ddd81d594cba410f708d7.ts
有綫新聞,https://ottproxy2.mott.tv/livehls/MOB-SCC/03.m3u8?sessionID=XNoSKsoyhu+3ZzGxIn6l1Azz
无线新闻,https://www.szkis.com/tv/tvb.php?id=inews?is_hd
无线新闻,http://www.liveviptv.xyz/tv/tvb.php
无线新闻,p2p://3114910866:9906/5ad32bdc000b780449ee52022e841cf7
無綫新聞,p8p://0198.02686.cc:16871/5d1a69dc000d64b611be7bef5757286e.ts
无线财经资讯,https://www.szkis.com/tv/tvb.php?id=j5_ch85?is_hd
无线财经资讯,p2p://lino.homeunix.com:6007/5ad32aed000d8fa649eaacf716d70340.ts
明珠臺,http://www.szdznet.cn/tv/tm2.php?id=XGMingZhu
明珠臺,p8p://0198.02686.cc:16871/5d1a69c0000460ab11be0c40e08de9fb.ts
明珠臺,p8p://0198.02686.cc:16871/5d1a69de0005348e11be81a666c79a56.ts
翡翠臺,http://www.szdznet.cn/tv/tm2.php?id=XGFeiCui
翡翠臺,p2p://sdgdklwos.finetv.tv:9906/5a562a0b000d7041619b441d562d5ee8.ts
翡翠臺,p8p://0198.02686.cc:16871/5d1a69fb000eb19011bef55c89140144.ts
TVB星河,p8p://0198.02686.cc:16871/5d1a69940005adb211bd60b57a4af31b.ts
J2,p2p://lino.homeunix.com:6007/59fd25e80008aaec02a88fc1476f2edf.ts
J2,p2p://lino.homeunix.com:6007/5ad32b7d000cca4049ecdf4812f47470.ts
J2,p2p://3114910866:9906/59fd25e80008aaec02a88fc1476f2edf
J2,p8p://0198.02686.cc:16871/5d1a6990000c457811bd52c53e48f6b9.ts
RTHK31,p2p://lino.homeunix.com:6007/5b1ea0dc000bba59d03063fa2f1a513c.ts
RTHK32,p2p://lino.homeunix.com:6007/5b1ea120000af380d0316d6b59657817.ts
RTHK31,p2p://3114910866:9906/5b1ea0dc000bba59d03063fa2f1a513c
RTHK31,p8p://0198.02686.cc:16871/5d495caf000f16ce956b79188dfc18de.ts
RTHK32,p2p://3114910866:9906/5b1ea120000af380d0316d6b59657817
RTHK31,p2p://185.169.196.146:9906/5b1ea0dc000bba59d03063fa2f1a513c.ts
RTHK32,p2p://185.169.196.146:9906/5b1ea120000af380d0316d6b59657817.ts
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港有线18,rtmp://59.124.75.137/sat/hk042
澳门资讯,http://103.233.191.138/ch5/info_ch5.live/playlist.m3u8
澳亚卫视,http://stream.mastvnet.com/MASTV/sd/live.m3u8
澳门卫视,http://stream.mastvnet.com/MSTV/SD/live.m3u8
澳门莲花,http://live-rtmp.lotustv.duolaibo.cn/lotustv/5562e9e4d409d24c9600075c.m3u8
澳亚卫视,http://stream.mastvnet.com/MASTV/sd/live.m3u8
星空卫视,http://www.szdznet.cn/tv/tm2.php?id=XingKongTV
星空卫视,http://itv.ahau.edu.cn/hls/startv.m3u8
ChannelV,http://www.szdznet.cn/tv/tm2.php?id=ChannelV
阳光卫视,http://www.szdznet.cn/tv/tm2.php?id=SunShineTV

﻿台湾频道,#genre#
東森超視,p2p://190.2.146.92:18912/5c72487c000667911d52abe7044c2b21.ts
三立台湾,p2p://190.2.146.92:18912/5c72486a000b11721d5266cf1bf84bce.ts
TVBS精彩台,p2p://190.2.146.92:18912/5bdbf3b20000e966d2177540400d0818.ts
中天新聞 ,p2p://190.2.146.92:18912/5c7249b6000641f71d5776673c1d2f63.ts
民視 ,p2p://190.2.146.92:18912/5c72483f0003db4b1d51bcf349367c26.ts
華視 ,p2p://190.2.146.92:18912/5c2dd7470006324111f874bf40a40dd0.ts
華視 ,p2p://190.2.146.92:18912/5b140968000d4f3517d25cf83e1e0c9f.ts
華視 ,p2p://190.2.146.92:18912/5c72484f000e498b1d51fe2201d92dd3.ts
中視 ,p2p://190.2.146.92:18912/5c72484b000b1d091d51edb7087b7686.ts
TVBS新聞 ,p2p://190.2.146.92:18912/5c7249c2000e510f1d57a75a30592ee2.ts
非凡新聞 ,p2p://190.2.146.92:18912/5c7249cb000744bc1d57c8bd53377361.ts
衛視電影 ,p2p://190.2.146.92:18912/5c7249cf00095b611d57d8da587f1c48.ts
東森新聞 ,p2p://190.2.146.92:18912/5c7248a0000383701d5337cb153b4b51.ts
三立新聞 ,p2p://190.2.146.92:18912/5c7249be000b87931d5796ff51e62b02.ts
中天亞洲 ,p2p://190.2.146.92:18912/5c724839000d2f361d51a7e41eb00016.ts
亞洲旅遊 ,p2p://190.2.146.92:18912/5c724854000188081d520e6e279b2446.ts
美亞電影 ,p2p://190.2.146.92:18912/5c724a0e000442831d58cdaa6a2c5c52.ts
